qd,n samples,q_fhg,s_pos
631,3,6.0,3.0
121,2,0.0,0.0
3275,11,6.0,3.0
88,2,0.0,0.0
1659,3,6.0,2.0
99,1,0.0,0.0
1829,11,4.0,1.0
574,11,18.0,3.0
910,11,28.0,4.0
1119,2,2.0,2.0
1819,4,5.0,3.0
570,1,0.0,0.0
4071,15,7.0,3.0
1506,3,5.0,2.0
2767,12,67.0,10.0
55,1,1.0,1.0
1000,7,4.0,2.0
2968,13,3.0,1.0
5152,16,10.0,5.0
4071,18,2.0,2.0
3891,5,15.0,3.0
633,1,0.0,0.0
170,1,1.0,1.0
3679,14,18.0,9.0
268,1,2.0,1.0
146,1,0.0,0.0
8907,13,28.0,9.0
1575,4,14.0,4.0
385,1,15.0,1.0
3406,4,16.0,2.0
147,1,0.0,0.0
3595,5,14.0,3.0
490,2,0.0,0.0
186,1,0.0,0.0
2073,4,10.0,1.0
3417,5,12.0,2.0
8211,22,23.0,13.0
3436,17,16.0,6.0
